 "GEOID" "GEOCODE" "NAME" "U7G001"
 "1400000US12103024906" "12103024906" "Census Tract 249.06" "1894"
 "1400000US12103024907" "12103024907" "Census Tract 249.07" "1610"
 "1400000US12103024908" "12103024908" "Census Tract 249.08" "1294"
 "1400000US12103025004" "12103025004" "Census Tract 250.04" "2954"
 "1400000US12103025007" "12103025007" "Census Tract 250.07" "2142"
 "1400000US12103025009" "12103025009" "Census Tract 250.09" "1724"
 "1400000US12103025011" "12103025011" "Census Tract 250.11" "1983"
 "1400000US12103025012" "12103025012" "Census Tract 250.12" "2684"
 "1400000US12103025013" "12103025013" "Census Tract 250.13" "1872"
 "1400000US12103025014" "12103025014" "Census Tract 250.14" "1994"
 "1400000US12103025015" "12103025015" "Census Tract 250.15" "2258"
 "1400000US12103025016" "12103025016" "Census Tract 250.16" "1027"
 "1400000US12103025017" "12103025017" "Census Tract 250.17" "1942"
 "1400000US12103025018" "12103025018" "Census Tract 250.18" "1353"
 "1400000US12103025019" "12103025019" "Census Tract 250.19" "1841"
 "1400000US12103025020" "12103025020" "Census Tract 250.20" "1890"
 "1400000US12103025021" "12103025021" "Census Tract 250.21" "1777"
 "1400000US12103025106" "12103025106" "Census Tract 251.06" "1775"
 "1400000US12103025107" "12103025107" "Census Tract 251.07" "2394"
 "1400000US12103025108" "12103025108" "Census Tract 251.08" "1825"
 "1400000US12103025109" "12103025109" "Census Tract 251.09" "2364"
 "1400000US12103025110" "12103025110" "Census Tract 251.10" "2733"
 "1400000US12103025111" "12103025111" "Census Tract 251.11" "2625"
 "1400000US12103025112" "12103025112" "Census Tract 251.12" "1767"
 "1400000US12103025113" "12103025113" "Census Tract 251.13" "1333"
 "1400000US12103025114" "12103025114" "Census Tract 251.14" "1677"
 "1400000US12103025115" "12103025115" "Census Tract 251.15" "1860"
 "1400000US12103025116" "12103025116" "Census Tract 251.16" "1095"
 "1400000US12103025119" "12103025119" "Census Tract 251.19" "2510"
 "1400000US12103025120" "12103025120" "Census Tract 251.20" "1357"
 "1400000US12103025121" "12103025121" "Census Tract 251.21" "1930"
 "1400000US12103025122" "12103025122" "Census Tract 251.22" "2619"
 "1400000US12103025123" "12103025123" "Census Tract 251.23" "773"
 "1400000US12103025204" "12103025204" "Census Tract 252.04" "2054"
 "1400000US12103025205" "12103025205" "Census Tract 252.05" "2336"
 "1400000US12103025207" "12103025207" "Census Tract 252.07" "2981"
 "1400000US12103025208" "12103025208" "Census Tract 252.08" "1278"
 "1400000US12103025209" "12103025209" "Census Tract 252.09" "2509"
 "1400000US12103025210" "12103025210" "Census Tract 252.10" "1495"
 "1400000US12103025211" "12103025211" "Census Tract 252.11" "1567"
 "1400000US12103025303" "12103025303" "Census Tract 253.03" "3355"
 "1400000US12103025305" "12103025305" "Census Tract 253.05" "2037"
 "1400000US12103025307" "12103025307" "Census Tract 253.07" "1835"
 "1400000US12103025309" "12103025309" "Census Tract 253.09" "1432"
 "1400000US12103025310" "12103025310" "Census Tract 253.10" "921"
 "1400000US12103025311" "12103025311" "Census Tract 253.11" "2646"
 "1400000US12103025401" "12103025401" "Census Tract 254.01" "2003"
 "1400000US12103025407" "12103025407" "Census Tract 254.07" "2659"
 "1400000US12103025411" "12103025411" "Census Tract 254.11" "831"
 "1400000US12103025412" "12103025412" "Census Tract 254.12" "2414"
 "1400000US12103025413" "12103025413" "Census Tract 254.13" "2014"
 "1400000US12103025414" "12103025414" "Census Tract 254.14" "1697"
 "1400000US12103025415" "12103025415" "Census Tract 254.15" "1710"
 "1400000US12103025416" "12103025416" "Census Tract 254.16" "1900"
 "1400000US12103025417" "12103025417" "Census Tract 254.17" "1847"
 "1400000US12103025418" "12103025418" "Census Tract 254.18" "1662"
 "1400000US12103025419" "12103025419" "Census Tract 254.19" "1827"
 "1400000US12103025420" "12103025420" "Census Tract 254.20" "1791"
 "1400000US12103025421" "12103025421" "Census Tract 254.21" "2654"
 "1400000US12103025501" "12103025501" "Census Tract 255.01" "1789"
